id,type.name,team.id,team.name,tactics.formation,tactics.lineup_jersey_number,tactics.lineup_player_id,tactics.lineup_player_name,tactics.lineup_position_id,tactics.lineup_position_name
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,33,22601,Rafael Cabral Barbosa,1,Goalkeeper
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,17,4580,Andy Yiadom,2,Right Back
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,4,9480,Michael Morrison,3,Right Center Back
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,15,28105,Lewis Jack Gibson,5,Left Center Back
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,3,9537,Omar Richards,6,Left Back
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,8,16793,Andrew Ferai Rinomhota,10,Center Defensive Midfield
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,2,38858,Tomás Lago Pontes Esteves,13,Right Center Midfield
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,28,3954,Josh Laurent,15,Left Center Midfield
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,30,10323,Alfa Semedo Esteves,19,Center Attacking Midfield
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,47,8660,George Alexandru Puşcaş,22,Right Center Forward
c5337eac-8244-4e2e-b27a-82658e26fc24,Starting XI,50,Reading,41212.0,18,9559,Lucas Eduardo Santos João,24,Left Center Forward
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,1,22379,Angus Gunn,1,Goalkeeper
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,14,3298,Tom Smith,2,Right Back
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,36,22293,Harry Souttar,3,Right Center Back
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,6,20674,Danny Batth,5,Left Center Back
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,3,10491,Morgan Fox,6,Left Back
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,13,5475,John Michael Nchekwube Obinna,9,Right Defensive Midfield
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,34,9497,Jordan Thompson,11,Left Defensive Midfield
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,26,4725,Tyrese Campbell,12,Right Midfield
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,11,3514,James McClean,16,Left Midfield
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,21,9554,Steven Fletcher,22,Right Center Forward
ad10ed74-eda9-4522-9cba-8096c69363df,Starting XI,30,Stoke City,442.0,25,3908,Nick Powell,24,Left Center Forward
