Id,Formation,Player_Number,Player_Position,Player_Position_Abv,X,Y,,,,,,
1,4-3-3,1,Goalkeeper,GK,25,5,,,,,,
2,4-3-3,2,Right Back,RB,42,16,,,,,,
3,4-3-3,3,Right Center Back,RCB,30,12,,,,,,
4,4-3-3,5,Left Center Back,LCB,20,12,,,,,,
5,4-3-3,6,Left Back,LB,8,16,,,,,,
6,4-3-3,10,Center Defensive Midfield,DM,25,22,,,,,,
7,4-3-3,13,Right Center Midfield,RCM,35,27,,,,,,
8,4-3-3,15,Left Center Midfield,LCM,15,27,,,,,,
9,4-3-3,17,Right Wing,RW,39,36,,,,,,
10,4-3-3,21,Left Wing,LW,11,36,,,,,,
11,4-3-3,23,Center Forward,CF,25,40,,,,,,
12,4-2-3-1,1,Goalkeeper,GK,25,5,,,,,,
13,4-2-3-1,2,Right Back,RB,42,16,,,,,,
14,4-2-3-1,3,Right Center Back,RBC,30,12,,,,,,
15,4-2-3-1,5,Left Center Back,LCB,20,12,,,,,,
16,4-2-3-1,6,Left Back,LB,8,16,,,,,,
17,4-2-3-1,9,Right Defensive Midfield,RDM,32,22,,,,,,
18,4-2-3-1,11,Left Defensive Midfield,LDM,18,22,,,,,,
19,4-2-3-1,17,Right Wing,RW,38,32,,,,,,
20,4-2-3-1,19,Center Attacking Midfield,CAM,25,32,,,,,,
21,4-2-3-1,21,Left Wing,LW,12,32,,,,,,
22,4-2-3-1,23,Center Forward,CF,25,42,,,,,,
23,4-2-2-1-1,1,Goalkeeper,GK,25,5,,,,,,
24,4-2-2-1-1,2,Right Back,RB,42,16,,,,,,
25,4-2-2-1-1,3,Right Center Back,RCB,30,12,,,,,,
26,4-2-2-1-1,5,Left Center Back,LCB,20,12,,,,,,
27,4-2-2-1-1,6,Left Back,LB,8,16,,,,,,
28,4-2-2-1-1,9,Right Defensive Midfield,RDM,32,22,,,,,,
29,4-2-2-1-1,11,Left Defensive Midfield,LDM,18,22,,,,,,
30,4-2-2-1-1,12,Right Midfield,RM,42,27,,,,,,
31,4-2-2-1-1,16,Left Midfield,LM,8,27,,,,,,
32,4-2-2-1-1,19,Center Attacking Midfield,CAM,25,32,,,,,,
33,4-2-2-1-1,23,Center Forward,CF,25,40,,,,,,
34,4-4-2,1,Goalkeeper,GK,25,5,,,,,,
35,4-4-2,2,Right Back,RB,42,16,,,,,,
36,4-4-2,3,Right Center Back,RCB,30,12,,,,,,
37,4-4-2,5,Left Center Back,LCB,20,12,,,,,,
38,4-4-2,6,Left Back,LB,8,16,,,,,,
39,4-4-2,9,Right Defensive Midfield,RDM,32,27,,,,,,
40,4-4-2,11,Left Defensive Midfield,LDM,18,27,,,,,,
41,4-4-2,12,Right Midfield,RM,42,27,,,,,,
42,4-4-2,16,Left Midfield,LM,8,27,,,,,,
43,4-4-2,22,Right Center Forward,RCF,30,40,,,,,,
44,4-4-2,24,Left Center Forward,LCF,20,40,,,,,,
45,4-3-2-1,1,Goalkeeper,GK,25,5,,,,,,
46,4-3-2-1,2,Right Back,RB,42,16,,,,,,
47,4-3-2-1,3,Right Center Back,RCB,30,12,,,,,,
48,4-3-2-1,5,Left Center Back,LCB,20,12,,,,,,
49,4-3-2-1,6,Left Back,LB,8,16,,,,,,
50,4-3-2-1,12,Right Midfield,RM,42,27,,,,,,
51,4-3-2-1,14,Center Midfield,CM,25,27,,,,,,
52,4-3-2-1,16,Left Midfield,LM,8,27,,,,,,
53,4-3-2-1,17,Right Wing,RW,39,36,,,,,,
54,4-3-2-1,21,Left Wing,LW,11,36,,,,,,
55,4-3-2-1,23,Center Forward,CF,25,40,,,,,,
56,4-2-2-2,1,Goalkeeper,GK,25,5,,,,,,
57,4-2-2-2,2,Right Back,RB,42,16,,,,,,
58,4-2-2-2,3,Right Center Back,RCB,30,12,,,,,,
59,4-2-2-2,5,Left Center Back,LCB,20,12,,,,,,
60,4-2-2-2,6,Left Back,LB,8,16,,,,,,
61,4-2-2-2,13,Right Defensive Midfield,RDM,32,22,,,,,,
62,4-2-2-2,15,Left Defensive Midfield,LDM,18,22,,,,,,
63,4-2-2-2,17,Right Wing,RW,38,32,,,,,,
64,4-2-2-2,21,Left Wing,LW,12,32,,,,,,
65,4-2-2-2,22,Right Center Forward,RCF,30,40,,,,,,
66,4-2-2-2,24,Left Center Forward,LCF,20,40,,,,,,
67,4-1-2-2-1,1,Goalkeeper,GK,25,5,,,,,,
68,4-1-2-2-1,2,Right Back,RB,42,16,,,,,,
69,4-1-2-2-1,3,Right Center Back,RCB,30,12,,,,,,
70,4-1-2-2-1,5,Left Center Back,LCB,20,12,,,,,,
71,4-1-2-2-1,6,Left Back,LB,8,16,,,,,,
