id,type.name,team.id,team.name,tactics.formation,tactics.lineup_jersey_number,tactics.lineup_player_id,tactics.lineup_player_name,tactics.lineup_position_id,tactics.lineup_position_name
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,1,22379,Angus Gunn,1,Goalkeeper
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,14,3298,Tom Smith,2,Right Back
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,36,22293,Harry Souttar,3,Right Center Back
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,6,20674,Danny Batth,5,Left Center Back
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,3,10491,Morgan Fox,6,Left Back
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,13,5475,John Michael Nchekwube Obinna,9,Right Defensive Midfield
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,34,9497,Jordan Thompson,11,Left Defensive Midfield
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,20,36807,Tashan Oakley-Boothe,12,Right Midfield
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,11,3514,James McClean,16,Left Midfield
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,21,9554,Steven Fletcher,22,Right Center Forward
ca6d98ef-df2b-4ddc-9865-108d796b844b,Tactical Shift,30,Stoke City,442.0,26,4725,Tyrese Campbell,24,Left Center Forward
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,1,22379,Angus Gunn,1,Goalkeeper
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,36,22293,Harry Souttar,3,Right Center Back
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,6,20674,Danny Batth,4,Center Back
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,37,24824,Nathan Michael Collins,5,Left Center Back
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,14,3298,Tom Smith,7,Right Wing Back
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,3,10491,Morgan Fox,8,Left Wing Back
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,13,5475,John Michael Nchekwube Obinna,9,Right Defensive Midfield
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,34,9497,Jordan Thompson,11,Left Defensive Midfield
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,20,36807,Tashan Oakley-Boothe,18,Right Attacking Midfield
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,11,3514,James McClean,20,Left Attacking Midfield
813ac310-b71b-452e-8b95-a217aa1d4aae,Tactical Shift,30,Stoke City,3421.0,26,4725,Tyrese Campbell,23,Center Forward
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,33,22601,Rafael Cabral Barbosa,1,Goalkeeper
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,8,16793,Andrew Ferai Rinomhota,2,Right Back
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,4,9480,Michael Morrison,3,Right Center Back
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,15,28105,Lewis Jack Gibson,5,Left Center Back
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,3,9537,Omar Richards,6,Left Back
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,28,3954,Josh Laurent,10,Center Defensive Midfield
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,24,9534,Omatsone Folarin Aluko,13,Right Center Midfield
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,7,24215,Michael Olise,15,Left Center Midfield
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,30,10323,Alfa Semedo Esteves,19,Center Attacking Midfield
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,9,4890,Sam Baldock,22,Right Center Forward
a3d7e70b-70e5-4ca8-a0ae-985d643eb98e,Tactical Shift,50,Reading,41212.0,18,9559,Lucas Eduardo Santos João,24,Left Center Forward
